|context_id|context|question|answer|answer_start|answer_end
283|252|Vision insurance in the US is provided through MetLife. The company pays 100% of the premium. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|Vision insurance in the US is provided through what company?|MetLife|47|55
284|253|Vision insurance in the US is provided through MetLife. The company pays 100% of the premium. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|On what date does new coverage for Vision begin?|December 1|165|176
285|255|If youre outside of the US and pay out of pocket for private health insurance, you can request reimbursement for 75% of your insurance payments on your monthly invoice. Your monthly reimbursement is capped at the amount 37signals pays per employee per month on the US employee group plan. You may be asked to provide documentation to support your request for reimbursement.|What percentage of out of pocket health insurance payments is reimbursed?|75%|113|116
286|255|If youre outside of the US and pay out of pocket for private health insurance, you can request reimbursement for 75% of your insurance payments on your monthly invoice. Your monthly reimbursement is capped at the amount 37signals pays per employee per month on the US employee group plan. You may be asked to provide documentation to support your request for reimbursement.|How much is the reimbursement capped at?|37signals pays per employee per month|220|257
287|256|37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays 100% of the premium. You're eligible for coverage on your first day of employment, and its terminated automatically on your final day of employment. Open enrollment is in November every year, and participants are auto-enrolled at that time.|How much is the life insurance/AD+D policy offered by 37signals?|400,000|20|27
288|257|37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays 100% of the premium. You're eligible for coverage on your first day of employment, and its terminated automatically on your final day of employment. Open enrollment is in November every year, and participants are auto-enrolled at that time.|What company offers this life insurance/AD+ policy?|MetLife|76|84
289|258|Retirement PlanOur retirement plan for US employees is with Vanguard. 37signals matches 100% of what you contribute, up to 6% of your salary. You are eligible to enroll in the 401K plan with your first paycheck.|What is the name of the company that has a retirement plan for US employees?|Vanguard|60|69
290|258|Retirement PlanOur retirement plan for US employees is with Vanguard. 37signals matches 100% of what you contribute, up to 6% of your salary. You are eligible to enroll in the 401K plan with your first paycheck.|What percentage of what you contribute does 37signals match?|100%|88|92
291|259|If you're outside the US, 37signals will match what you contribute to a retirement account in your home country, up to 6% of your salary. In these cases, 37signals will pay you directly via your monthly invoice. Its up to you to invest that payment and maintain administration of the retirement account and its taxes. You may be asked to provide documentation to support your request for a match.|What will match what you contribute to a retirement account in your home country?|37signals|26|35
292|259|If you're outside the US, 37signals will match what you contribute to a retirement account in your home country, up to 6% of your salary. In these cases, 37signals will pay you directly via your monthly invoice. Its up to you to invest that payment and maintain administration of the retirement account and its taxes. You may be asked to provide documentation to support your request for a match.|What do you have to provide to support a match to a retirement account?|documentation|346|359
293|260|The FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such as prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much money you want to put in the account, and the max is $3,050/year. There is a separate type of FSA for dependent care, and the max for that plan is $5,000/year or $2,500/year if you split this with a partner. This is an entirely optional program. Open enrollment is in December every year, with new coverage beginning January 1. Both FSAs are with Paychex, our payroll provider.|How much is the max FSA for individuals?|3,050/year|255|266
294|261|The FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such as prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much money you want to put in the account, and the max is $3,050/year. There is a separate type of FSA for dependent care, and the max for that plan is $5,000/year or $2,500/year if you split this with a partner. This is an entirely optional program. Open enrollment is in December every year, with new coverage beginning January 1. Both FSAs are with Paychex, our payroll provider.|What is the name of the payroll provider for the FSA accounts?|Paychex|548|556
295|262|37signals offers 18 days of paid time off plus 11 local holidays every year. We ask that you track your time off. Your vacation time is prorated based on your start date during your first year at 37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you are terminated or resign from 37signals with vacation days in your bank, youll be paid the monetary equivalent for those unused days (prorated at the time of your departure).|What is the number of paid days of paid time off?|18|17|19
296|263|37signals offers 18 days of paid time off plus 11 local holidays every year. We ask that you track your time off. Your vacation time is prorated based on your start date during your first year at 37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you are terminated or resign from 37signals with vacation days in your bank, youll be paid the monetary equivalent for those unused days (prorated at the time of your departure).|What is the maximum bank of vacation time at any time?|27 days|273|280
297|264|In addition to annual PTO and holidays, every three years employees may take a 30-day paid sabbatical. Give your team a heads-up preferably three months in advance so they can coordinate. If youre terminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary equivalent of those unused days only if your unused sabbatical was earned within the previous 12 months.|What is the length of a paid sabbatical?|30-day|79|85
298|265|In addition to annual PTO and holidays, every three years employees may take a 30-day paid sabbatical. Give your team a heads-up preferably three months in advance so they can coordinate. If youre terminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary equivalent of those unused days only if your unused sabbatical was earned within the previous 12 months.|What is the ideal amount of notice that a sabbatical should be given to a team?|three months|140|152
299|266|We dont offer a bank of sick days nor do we ask you to track your sick days. However if youre unexpectedly away from work due to illness or injury for more than 5 consecutive work days, youll transition from sick time to Personal Leave. 37signals does not pay out for unused sick time upon resignation or termination, since we have no sick time bank.|What is the benefit of being able to track sick time?|if youre unexpectedly away from work due to illness or injury|85|146
300|267|We dont offer a bank of sick days nor do we ask you to track your sick days. However if youre unexpectedly away from work due to illness or injury for more than 5 consecutive work days, youll transition from sick time to Personal Leave. 37signals does not pay out for unused sick time upon resignation or termination, since we have no sick time bank.|How do you track sick time?|we have no sick time bank|324|350
301|268|Your manager will check in with you if youre consistently taking 3+ unplanned sick days per month. Excessive use of sick time may result in disciplinary measures. If you have a medical condition you know will take you away from work regularly, please work with your manager for accommodations.|How many sick days are you allowed in a month?|3+|65|67
302|268|Your manager will check in with you if youre consistently taking 3+ unplanned sick days per month. Excessive use of sick time may result in disciplinary measures. If you have a medical condition you know will take you away from work regularly, please work with your manager for accommodations.|How will excessive sick time result in your job?|disciplinary measures|140|162
303|269|If you are unable to work for more than 1 week because of illness or injury, let your manager know as soon as you can. You can take four weeks off at 100% pay. If after 4 weeks, youre still unable to work, your salary will drop to 70% for an additional 8 weeks. Your medical insurance will remain in force throughout your Leave. If after 12 weeks, you still cannot work, talk to your manager, and we will discuss what comes next on a case-by-case basis. You may be asked to provide medical documentation to support your request for Personal Leave, and Personal Leave is limited to one instance of paid leave per 12-month period.|What percentage will your salary drop if you can work for 4 weeks but are still unable to work?|70%|231|234
304|270|If you are unable to work for more than 1 week because of illness or injury, let your manager know as soon as you can. You can take four weeks off at 100% pay. If after 4 weeks, youre still unable to work, your salary will drop to 70% for an additional 8 weeks. Your medical insurance will remain in force throughout your Leave. If after 12 weeks, you still cannot work, talk to your manager, and we will discuss what comes next on a case-by-case basis. You may be asked to provide medical documentation to support your request for Personal Leave, and Personal Leave is limited to one instance of paid leave per 12-month period.|How many paid personal leave per year are there?|one|581|584
305|271|We work 4-day work weeks from May 1 through August 31 every year. An employee who has just been hired may have to complete a training program per their team lead to be eligible. When a holiday occurs during summer hours, you can take the holiday off or your normal summer day off. Any additional days off would count as vacation days.|What month marks the beginning of a 4-day work week?|May 1 through August 31|30|53
306|272|We work 4-day work weeks from May 1 through August 31 every year. An employee who has just been hired may have to complete a training program per their team lead to be eligible. When a holiday occurs during summer hours, you can take the holiday off or your normal summer day off. Any additional days off would count as vacation days.|What do the additional days off count as?|vacation days|320|334
307|273|37signals also allows a Day of Service. You can take one day off every year to volunteer for a charitable or community organization of your choice. No need to use a vacation day or personal day, just let your team know youll be out. 37signals does not pay out for unused Days of Service if you resign or are terminated from 37signals.|What app allows for a Day of Service?|37signals|0|9
308|274|37signals also allows a Day of Service. You can take one day off every year to volunteer for a charitable or community organization of your choice. No need to use a vacation day or personal day, just let your team know youll be out. 37signals does not pay out for unused Days of Service if you resign or are terminated from 37signals.|What app allows for a Day of Service?|37signals|0|9
309|275|37signals doesn't have a formal time off request process. It's your responsibility to work with your manager and team to ensure coverage and manage your scheduled workload. The sooner you can inform your manager and team of your planned absence, the better, especially longer absences like sabbatical or long vacations. If your team has a defined process for scheduling time off, please follow that first.|What does not have a formal time off process?|37signals|0|9
310|277|The only time we ask you not to schedule discretionary time off is during a CODE. At 37signals, we assign a CODE when urgent work needs to be done. We have three levels of criticality. A CODE RED is an emergency, a CODE YELLOW is less immediate but still critical, and a CODE LAUNCH is called when were in the final stages of launching a new product. If were in the midst of one of these and you can delay your vacation or sabbatical until after the code has ended, please do.|What is the number of levels of criticality at 37signals?|three|156|161
311|277|The only time we ask you not to schedule discretionary time off is during a CODE. At 37signals, we assign a CODE when urgent work needs to be done. We have three levels of criticality. A CODE RED is an emergency, a CODE YELLOW is less immediate but still critical, and a CODE LAUNCH is called when were in the final stages of launching a new product. If were in the midst of one of these and you can delay your vacation or sabbatical until after the code has ended, please do.|How long can you delay your vacation or sabbatical?|until after the code has ended|434|465
312|279|If you become the primary caregiver of a child, you can take up to 16 weeks leave at 100% pay. If you become the secondary caregiver of a new child, you can take up to 6 weeks leave at 100% pay. You may choose to take an additional unpaid leave as the primary or secondary caregiver.|What is the pay of a primary caregiver?|100%|85|89
313|280|Some states require us to provide additional benefits.Bereavement Leave|How do some states require us to provide?|additional benefits.Bereavement|34|65
314|281|When you lose a loved one, you can take paid time off from work for bereavement, making arrangements, settling family affairs, and attending the funeral or memorial service. Let your manager know your plans as soon as you can so they can arrange for your absence.|How do you get time off for a loved one?|paid time off from work|40|63
315|281|When you lose a loved one, you can take paid time off from work for bereavement, making arrangements, settling family affairs, and attending the funeral or memorial service. Let your manager know your plans as soon as you can so they can arrange for your absence.|What kind of paid time off is available when you lose a loved one?|work|59|63
316|282|You can take ten days of bereavement leave for the death of a spouse or partner, child or child-in-law, parent or parent-in-law, or sibling or sibling-in-law. You can take three days of bereavement leave for the death of a grandparent, niece or nephew, cousin, or close friend. These caps are not to say you must return to work after so many days; you can use any of your available vacation time if you find you need more time off after bereavement leave. And if you know youll be away from work for much longer than outlined above, please talk to your manager to discuss that special case.|What is the maximum amount of leave that can be used for bereavement?|ten days|13|21
317|282|You can take ten days of bereavement leave for the death of a spouse or partner, child or child-in-law, parent or parent-in-law, or sibling or sibling-in-law. You can take three days of bereavement leave for the death of a grandparent, niece or nephew, cousin, or close friend. These caps are not to say you must return to work after so many days; you can use any of your available vacation time if you find you need more time off after bereavement leave. And if you know youll be away from work for much longer than outlined above, please talk to your manager to discuss that special case.|What is the maximum amount of bereavement leave you can take?|three days|172|182
318|285|For your fur babies! 37signals doesnt contribute to this plan at all, but everyone gets a 10% discount on this insurance you might otherwise buy. There are no set rates, and you can visit our portal on Figos website to get your quote and sign up. Theres no open enrollment period to sign up for pet insurance.|What does everyone get on pet insurance?|10% discount|90|102
319|286|For your fur babies! 37signals doesnt contribute to this plan at all, but everyone gets a 10% discount on this insurance you might otherwise buy. There are no set rates, and you can visit our portal on Figos website to get your quote and sign up. Theres no open enrollment period to sign up for pet insurance.|What is the place to get a quote and sign up for pet insurance?|Figos|202|207
320|287|37signals shares 10% of its annual company profits with employees, which is distributed in shares based on tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around March (e.g. 2022 profits distributed in March 2023).|What percentage of its annual profits does 37signals share with its employees?|10%|17|20
321|288|37signals shares 10% of its annual company profits with employees, which is distributed in shares based on tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around March (e.g. 2022 profits distributed in March 2023).|In what month are profits usually distributed in the company?|March|210|215
322|289|Youre eligible to participate in profit sharing after two years of working at 37signals. Youll accrue one share per month starting on your second anniversary at 37signals, and youll max out your shares at 10 years. We calculate shares based on months of tenure so theres no unfair cliff between being hired in December vs January.|What is the minimum amount of time that you must work at 37signals to be eligible for profit sharing?|two years|54|63
323|289|Youre eligible to participate in profit sharing after two years of working at 37signals. Youll accrue one share per month starting on your second anniversary at 37signals, and youll max out your shares at 10 years. We calculate shares based on months of tenure so theres no unfair cliff between being hired in December vs January.|What is the maximum amount of shares you can earn after two years of employment with 37signals?|10 years|205|214
324|290|We ask that you think of any compensation from this program as not something to be counted upon, not something to be budgeted with, but as a true bonus. Year to year, profits and therefore the amount were able to share with employees may swing wildly or not be paid out at all.|How do you view compensation from a compensation program?|as a true bonus|136|152
325|290|We ask that you think of any compensation from this program as not something to be counted upon, not something to be budgeted with, but as a true bonus. Year to year, profits and therefore the amount were able to share with employees may swing wildly or not be paid out at all.|What can the amount of bonuses for employees fluctuate year to year?|swing wildly or not be paid out at all|238|277
326|291|This Program does not have any set expiration date, but the company reserves the right to amend it or cancel it at any time. You forfeit your shares in the profit sharing program if you resign or are terminated from 37signals before the distribution date.|What do you forfeit your shares for resigning or being terminated from 37signals?|profit sharing program|156|178
327|291|This Program does not have any set expiration date, but the company reserves the right to amend it or cancel it at any time. You forfeit your shares in the profit sharing program if you resign or are terminated from 37signals before the distribution date.|How can you lose your profit sharing program shares?|if you resign or are terminated from 37signals before the distribution date|179|255
328|292|There are no plans to sell 37signals or take the company public! But, in the slight chance of that happening, employees may be eligible to receive a portion of 10% of the value of the company if 37signals is sold or made public. That 10% would be divided into shares, and shares distributed amongst employees based on their tenure at the time of the sale/offering.|What percentage of the company's value would employees receive if the company is sold?|10%|160|163
329|293|There are no plans to sell 37signals or take the company public! But, in the slight chance of that happening, employees may be eligible to receive a portion of 10% of the value of the company if 37signals is sold or made public. That 10% would be divided into shares, and shares distributed amongst employees based on their tenure at the time of the sale/offering.|What percentage of the company's value would employees receive if the company is sold?|10%|160|163
330|294|Employees are eligible for shares in the liquidity pool after two years of working at 37signals. Youll accrue one share per month starting on your second anniversary, and you max out your shares after 10 years. We calculate shares based on months of tenure so theres no unfair cliff between being hired in December vs January.|What do we use to calculate shares?|months of tenure|240|256
331|295|This Program does not have any set expiration date, but the company reserves the right to amend it or cancel it at any time. You forfeit your shares in the liquidity pool if you resign or are terminated from 37signals before the distribution date.Employee Gifts|How do you forfeit your shares in the liquidity pool?|if you resign or are terminated from 37signals before the distribution date.Employee|171|255
332|296|At the end of every year, 37signals gives a thank-you gift to employees. The gift changes year to year and is not intended to be a year-end bonus.|What does 37signals give employees at the end of the year?|thank-you gift|44|58
333|296|At the end of every year, 37signals gives a thank-you gift to employees. The gift changes year to year and is not intended to be a year-end bonus.|What is the gift not intended for?|a year-end bonus|129|146
334|297|Employees also receive a thank-you gift on their anniversaries with the company.Home Office Set-up|What do employees receive on anniversaries?|thank-you gift|25|39
335|297|Employees also receive a thank-you gift on their anniversaries with the company.Home Office Set-up|What kind of gift do employees receive on their birthday?|thank-you|25|34
336|298|Since you work remotely, we want to make sure your home office is comfortable. During your first year at 37signals, you can expense up to $2,000 on things like a new desk, new desk chair, or other office furniture. This benefit expires on your first anniversary with the company.|What is the maximum amount of furniture that can be purchased during the first year of employment?|2,000|139|144
337|298|Since you work remotely, we want to make sure your home office is comfortable. During your first year at 37signals, you can expense up to $2,000 on things like a new desk, new desk chair, or other office furniture. This benefit expires on your first anniversary with the company.|What is the point of expiring this benefit?|your first anniversary|239|261
338|299|Coworking Space StipendYou can expense up to $200/month towards renting coworking space in your city. Please make sure youre using a true coworking space thats meant solely for working, not a club or social space like Soho House.|What is the cost of coworking space in NYC?|200/month|46|55
339|299|Coworking Space StipendYou can expense up to $200/month towards renting coworking space in your city. Please make sure youre using a true coworking space thats meant solely for working, not a club or social space like Soho House.|What is the name of a social space that is meant for a social club, not a working space?|Soho House|218|229
340|300|Everyone at 37signals has a subscription to Deskpass, a co-working desk reservation service. You can use Deskpass to find co-working spaces near you, and your $200/month benefit is pre-fixed in your account. You're not required to use Deskpass to use your co-working space benefit. Your Deskpass budget is capped at $200/mo, but none of that gets paid out unless you book a desk.|What is the name of the co-working desk reservation service?|Deskpass|44|53
341|300|Everyone at 37signals has a subscription to Deskpass, a co-working desk reservation service. You can use Deskpass to find co-working spaces near you, and your $200/month benefit is pre-fixed in your account. You're not required to use Deskpass to use your co-working space benefit. Your Deskpass budget is capped at $200/mo, but none of that gets paid out unless you book a desk.|What is the name of the co-working desk reservation service that everyone at 37Signals has a subscription to?|Deskpass|44|53
342|301|All staff carries a 37signals Visa card that you can use for work expenses like the benefits described above, software, computer equipment, meet-up travel, or office supplies. Check with your manager or Andrea if you have any doubts about whether or not a purchase qualifies as a work expense.|What do staff members carry?|a 37signals Visa card|18|39
343|302|All staff carries a 37signals Visa card that you can use for work expenses like the benefits described above, software, computer equipment, meet-up travel, or office supplies. Check with your manager or Andrea if you have any doubts about whether or not a purchase qualifies as a work expense.|Who can you check with to see if a purchase is considered a work expense?|your manager or Andrea|187|209
344|303|We use an expense management platform called Airbase. You're responsible for the monthly categorizing of your expenses and uploading receipts for purchases over $75. Full instructions on how to log your expenses in Airbase can be found in Basecamp.|What is the name of the platform that helps manage expenses?|Airbase|45|53
345|303|We use an expense management platform called Airbase. You're responsible for the monthly categorizing of your expenses and uploading receipts for purchases over $75. Full instructions on how to log your expenses in Airbase can be found in Basecamp.|In what platform are the instructions for Airbase found?|Basecamp|239|248
346|304|Overall, we trust our employees to spend money wisely. If youre booking a meet-up flight, you dont need to buy the cheapest, 2-layover redeye; buy the convenient, well-priced seat. If youre attending a conference on behalf of 37signals, well buy your meals. Just try to stay away from caviar and champagne at dinner (okay, maybe once if you have a great day to celebrate).|How do you find a cheaper flight?|buy the convenient, well-priced seat|143|180
347|304|Overall, we trust our employees to spend money wisely. If youre booking a meet-up flight, you dont need to buy the cheapest, 2-layover redeye; buy the convenient, well-priced seat. If youre attending a conference on behalf of 37signals, well buy your meals. Just try to stay away from caviar and champagne at dinner (okay, maybe once if you have a great day to celebrate).|Along with champagne, what is something that you should avoid at dinner?|caviar|285|291
348|305|Speaking of conferences please limit your attendance at professional conferences to once a year. Dont extend your hotel stay too far to either side of the conference schedule; you should be traveling specifically to attend the conf. Our conference budget guidelines mirror our mini meet-up budget guidelines; you can find those in Basecamp.|What is the maximum amount of professional conferences you should attend?|once a year|84|96
349|305|Speaking of conferences please limit your attendance at professional conferences to once a year. Dont extend your hotel stay too far to either side of the conference schedule; you should be traveling specifically to attend the conf. Our conference budget guidelines mirror our mini meet-up budget guidelines; you can find those in Basecamp.|In what platform can you find the conference budget guidelines?|Basecamp|331|340
350|306|The entire company gathers in person twice a year. We meet up in a different city every time. In 2022, we traveled to Miami and Amsterdam. Most of the planning is taken care of for you; you just need to book your flights. Lodging, meeting space, agenda, and social outings will be planned and communicated well in advance.|What is the frequency of company gathering in person?|twice a year|37|50
351|307|The entire company gathers in person twice a year. We meet up in a different city every time. In 2022, we traveled to Miami and Amsterdam. Most of the planning is taken care of for you; you just need to book your flights. Lodging, meeting space, agenda, and social outings will be planned and communicated well in advance.|In 2022, what city did the entire company travel to?|Miami and Amsterdam|118|138
352|308|In general, our meetups are largely unstructured. Every morning, we gather for breakfast at 8am. There are some scheduled talks, like the welcome session on Monday morning, lightning talks, and peer appreciation session. Occasionally, we bring in outside speakers or trainers. Other than that, the meet-up is intentionally loose. Teams huddle in a breakout room, groups go out for coffee or to explore the city, or managers meet 1:1s with employees. Connection and fellowship is always the #1 goal of any meetup, which we accomplish in different ways throughout the week.|How are our meetups generally organized?|largely unstructured|28|49
353|308|In general, our meetups are largely unstructured. Every morning, we gather for breakfast at 8am. There are some scheduled talks, like the welcome session on Monday morning, lightning talks, and peer appreciation session. Occasionally, we bring in outside speakers or trainers. Other than that, the meet-up is intentionally loose. Teams huddle in a breakout room, groups go out for coffee or to explore the city, or managers meet 1:1s with employees. Connection and fellowship is always the #1 goal of any meetup, which we accomplish in different ways throughout the week.|What is the #1 goal of any meetup?|Connection and fellowship|450|475
354|309|Meeups are 1 week long. Most people arrive Sunday, we meet Monday through Thursday, and then we travel home on Friday. Everyone should come to every meet-up, but skipping one here and there is okay if you have an engagement you cant cancel.|On what day does the meeup group arrive?|Sunday|43|50
355|309|Meeups are 1 week long. Most people arrive Sunday, we meet Monday through Thursday, and then we travel home on Friday. Everyone should come to every meet-up, but skipping one here and there is okay if you have an engagement you cant cancel.|What day do we travel home?|Friday|111|118
356|310|It's important to note that meet-ups can be overwhelming when we're so used to working on our own and virtually. But meetups are also rewarding and energizing, and you'll probably find yourself looking forward to the next one within weeks of returning home.|How do meet-ups feel for people used to working on their own?|overwhelming|44|56
357|310|It's important to note that meet-ups can be overwhelming when we're so used to working on our own and virtually. But meetups are also rewarding and energizing, and you'll probably find yourself looking forward to the next one within weeks of returning home.|How do we usually meet up for meet-ups?|working on our own and virtually|79|112
358|311|Once a year, you can get together with a small group of your coworkers on a mini meet-up at a destination of your choosing. Mini meet-ups should have a work focus. Theyre not meant to be social trips, and youre not doing just your day-to-day work in the same room as your coworkers. You should be collaborating on something meaningful. It certainly doesnt have to be big and you dont have to produce something by the end of the meet-up. Pick something youd love to have a week to discuss in person and have fun with it.|What should mini meet-ups have?|a work focus|150|163
359|312|Once a year, you can get together with a small group of your coworkers on a mini meet-up at a destination of your choosing. Mini meet-ups should have a work focus. Theyre not meant to be social trips, and youre not doing just your day-to-day work in the same room as your coworkers. You should be collaborating on something meaningful. It certainly doesnt have to be big and you dont have to produce something by the end of the meet-up. Pick something youd love to have a week to discuss in person and have fun with it.|How are mini meet-ups not meant to be?|social trips|187|200
360|313|Keep in mind: your mini-meet-up team does not have to be your formal team like Ops, Support, Mobile, etc. Colleagues who are working cross-team who have a project to get together on can meet-up too. Limit yourself to 1 mini-meet-up per year though, whether thats with your dedicated team or with an offshoot team.|What kind of team can also meet up for a mini-meet-up?|Colleagues who are working cross-team|106|143
361|313|Keep in mind: your mini-meet-up team does not have to be your formal team like Ops, Support, Mobile, etc. Colleagues who are working cross-team who have a project to get together on can meet-up too. Limit yourself to 1 mini-meet-up per year though, whether thats with your dedicated team or with an offshoot team.|How many mini-meet-up's can you have per year?|1|217|218
362|314|Budget guidelines for mini meet-ups can be found in Basecamp.Everyone on Support (EOS)|In what document are the budget guidelines for mini-meetups found?|Basecamp.Everyone|52|69
363|315|Once every month or two, everyone in the company is given the opportunity to do a Customer Support shift. We call it Everyone on Support (EOS). Talking directly to customers all day helps us realize whats wrong and whats right with our products. For the first few times you do EOS, youll have a Support buddy to help you write clear and correct answers to customer questions through Help Scout, our support response tool, and then youre on your own!|What shift are they given?|Customer Support shift|82|105
364|315|Once every month or two, everyone in the company is given the opportunity to do a Customer Support shift. We call it Everyone on Support (EOS). Talking directly to customers all day helps us realize whats wrong and whats right with our products. For the first few times you do EOS, youll have a Support buddy to help you write clear and correct answers to customer questions through Help Scout, our support response tool, and then youre on your own!|What is the name of the shift that gives everyone in the company the chance to work on Support?|Everyone on Support|117|136
365|316|State FMLA Laws New York If youre an eligible secondary caregiver in the state of New York, you may be able to take up to 10 weeks leave. Washington|How much time can you take off in New York?|10 weeks|122|130
366|317|This is a voluntary plan fully funded by 37signals. Employees will not be taxed for this plan. This plan is effective April 1, 2019, and in effect for no less than a year and continuously thereafter. Current and future employees of 37signals LLC are eligible for this policy. The definition of Family member can be found in the WA state law RCW 50A.04.010. New child is defined as a new birth, adoption, or fostered minor. A Primary Caregiver is the person who provides the child with the majority of their care during Parental Leave. A Secondary Caregiver is a parent who is accompanied by the presence of the Primary Caregiver. In practice, one example of this policy would be one parent home full-time with a new child as a Primary Caregiver and the other parent home part-time as a Secondary Caregiver. If 70% of your pay is lower than what Washington State would pay under the state requirement, we will supplement to meet that requirement. All durations allowed in this policy are on a 52 consecutive week period. Benefits are allowed per event and do not have a total annual cap. For example, one medical event in March would not reduce the benefit for a medical event in October provided they are unrelated and occurred separately. An employee must be in employment for 820 hours during the qualifying period (Qualifying period means the first four of the last five completed calendar quarters or, if eligibility is not established, the last four completed calendar quarters immediately preceding the application for leave). The employee must also have worked at least 340 hours for the employer during the 12 months immediately preceding the date leave will commence. An employee that had coverage under the state plan retains the state plan coverage until the employee qualifies for coverage under the employers voluntary plan. If an employee was eligible to take benefits under the approved voluntary plan of a previous employer, that employee would be immediately eligible for benefits under the current employers voluntary plan. In addition to the 12 weeks outlined in the companywide policy, as the the birthing parent you may take an additional 2 weeks of leave at $1,000 a week if pregnancy complications result in a longer recovery period. If one of your family members is under treatment or recovery for a serious medical condition and requires your care, you may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks.|What is the name of the company that funds the Washington state plan?|37signals|41|51
367|317|This is a voluntary plan fully funded by 37signals. Employees will not be taxed for this plan. This plan is effective April 1, 2019, and in effect for no less than a year and continuously thereafter. Current and future employees of 37signals LLC are eligible for this policy. The definition of Family member can be found in the WA state law RCW 50A.04.010. New child is defined as a new birth, adoption, or fostered minor. A Primary Caregiver is the person who provides the child with the majority of their care during Parental Leave. A Secondary Caregiver is a parent who is accompanied by the presence of the Primary Caregiver. In practice, one example of this policy would be one parent home full-time with a new child as a Primary Caregiver and the other parent home part-time as a Secondary Caregiver. If 70% of your pay is lower than what Washington State would pay under the state requirement, we will supplement to meet that requirement. All durations allowed in this policy are on a 52 consecutive week period. Benefits are allowed per event and do not have a total annual cap. For example, one medical event in March would not reduce the benefit for a medical event in October provided they are unrelated and occurred separately. An employee must be in employment for 820 hours during the qualifying period (Qualifying period means the first four of the last five completed calendar quarters or, if eligibility is not established, the last four completed calendar quarters immediately preceding the application for leave). The employee must also have worked at least 340 hours for the employer during the 12 months immediately preceding the date leave will commence. An employee that had coverage under the state plan retains the state plan coverage until the employee qualifies for coverage under the employers voluntary plan. If an employee was eligible to take benefits under the approved voluntary plan of a previous employer, that employee would be immediately eligible for benefits under the current employers voluntary plan. In addition to the 12 weeks outlined in the companywide policy, as the the birthing parent you may take an additional 2 weeks of leave at $1,000 a week if pregnancy complications result in a longer recovery period. If one of your family members is under treatment or recovery for a serious medical condition and requires your care, you may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks.|What date will this voluntary plan be in effect?|April 1, 2019|118|132
368|318|A secondary caregiver in Washington State, on Family Leave may take an additional 6 weeks of Family Leave, at $1,000 per week for those 6 weeks. This is in addition to the Family Leave given to all employees regardless of their state of residence. Family and personal leave may be taken together for a total of up to 16 weeks. If you are the birthing parent and require additional time to recover, you may take an additional 2 weeks at $1,000 per week for a total of 18 weeks. If one of your family members is in the military and you experience an exigency circumstance, 37signals has you covered. Exigency circumstances can include short-notice deployment, military events and related activities, childcare and school activities, counseling, and post- deployment activities. You may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks. Benefits will be calculated according to the Washington State policy RCW 50A.04.020(4) and (5). 37signals will continue to maintain your health insurance and your job at 37signals through the duration of your leave.|What company will continue to provide your health insurance during your leave?|37signals|1032|1041
369|318|A secondary caregiver in Washington State, on Family Leave may take an additional 6 weeks of Family Leave, at $1,000 per week for those 6 weeks. This is in addition to the Family Leave given to all employees regardless of their state of residence. Family and personal leave may be taken together for a total of up to 16 weeks. If you are the birthing parent and require additional time to recover, you may take an additional 2 weeks at $1,000 per week for a total of 18 weeks. If one of your family members is in the military and you experience an exigency circumstance, 37signals has you covered. Exigency circumstances can include short-notice deployment, military events and related activities, childcare and school activities, counseling, and post- deployment activities. You may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks. Benefits will be calculated according to the Washington State policy RCW 50A.04.020(4) and (5). 37signals will continue to maintain your health insurance and your job at 37signals through the duration of your leave.|What company will continue to provide your health insurance during your leave?|37signals|1032|1041
